c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
7.359148345625644572e-01,2.864294257486192929e-01,5.019556776281978161e-01,5.244719223993959956e-01,5.109179211149741384e-01,4.717824701447899671e-01,5.001196470083044687e-01,2.355760394610319219e-01,5.259417797544733153e-01,7.653424962781518737e-01,0
9.116755851511482156e-01,2.222988867278274938e-01,5.160647905484447850e-01,5.135248196361764661e-01,5.663642179438327373e-01,4.349491095762612614e-01,5.482971801963174574e-01,2.273399931912667982e-01,5.304733186617452967e-01,6.604760319795015544e-01,0
8.068067366155243780e-01,6.359079288646025674e-01,3.235111368882720995e-01,6.151849162919577063e-01,7.359596190525726778e-01,1.907185771073295344e-01,1.878106195586939642e-01,8.155083512272448543e-01,7.568217512538825131e-01,6.677452438170745630e-01,1
7.747953071582118767e-01,7.311935001208880180e-01,4.966497188873697510e-01,4.899036107014670405e-01,7.431005217100777882e-01,3.382981517409303640e-01,2.438817165026287426e-01,7.379145977119541122e-01,7.888107861458819592e-01,6.969498380449624664e-01,1
6.154585374399302866e-01,2.513839595523720272e-01,5.310136910880299821e-01,5.317891201453073258e-01,4.783721269970281909e-01,6.483948226991689268e-01,4.120824820596583615e-01,1.767319494697356663e-01,4.495479175126880778e-01,7.714413940827276051e-01,0
7.324630383265628986e-01,7.760791582190706972e-01,4.699395437253671703e-01,5.308915939154464914e-01,7.210293867418046121e-01,2.813280211622154470e-01,2.380538248934249979e-01,6.811501435160024487e-01,7.730661807060869029e-01,6.536212172273685450e-01,1
6.703271976480366101e-01,2.177713268598125418e-01,5.806545648580395680e-01,4.158893567712209083e-01,4.587540939194896250e-01,4.381199786244232008e-01,4.247909779261309637e-01,3.493451651821694037e-01,3.932363631097663959e-01,7.734612021602593757e-01,0
7.976061140074101052e-01,2.698146895694282787e-01,4.689025682068900802e-01,5.158275257004552028e-01,5.345766566999849978e-01,5.028954490309915926e-01,5.922625601283558749e-01,1.924821390647927510e-01,5.218973973266904931e-01,7.751768234169100769e-01,0
5.357659720592858887e-01,5.777412866278359704e-01,6.246113389968352969e-01,5.692383491564081410e-01,1.254252016060565023e+00,8.056102998028490392e-01,1.028416328712374428e+00,6.815612020456895959e-01,8.889173987946428213e-01,1.124355526184272813e+00,-1
6.265211523535306748e-01,7.973340406704695349e-01,4.256229021149998681e-01,4.796020389401887685e-01,8.921278377028534212e-01,9.911203509051760840e-02,2.380383334683778829e-01,7.419565474637010993e-01,7.622061024099212601e-01,8.541843985819829177e-01,1
7.477547484903722674e-01,1.802459195422205784e-01,5.395273268485495377e-01,4.740262454197713415e-01,4.721664355030502080e-01,4.589548943038537776e-01,4.495900625377409754e-01,2.298287856897412440e-01,5.603563239842619392e-01,7.230685837056823884e-01,0
7.592149387640199087e-01,7.531721059670911655e-01,5.053577783963775216e-01,4.624611266296244638e-01,7.313837041880906220e-01,2.223054822101488970e-01,2.529804135705971957e-01,7.105177662982515852e-01,7.792392015832968477e-01,7.067058759668052303e-01,1
7.840833673500109402e-01,1.761600062474359407e-01,4.348927075944707399e-01,4.595090626814462564e-01,4.424846663147904424e-01,6.442426116401179792e-01,4.718261588023336395e-01,2.118574432642630900e-01,4.560571266348549813e-01,6.742212679760384297e-01,0
8.016210301941163463e-01,1.943550183394168185e-01,5.589605516064169999e-01,6.021290937849110847e-01,4.735712463631259750e-01,4.960238866361770249e-01,5.241178386691172086e-01,2.036938947042011838e-01,5.248485486158348534e-01,6.693134786466689023e-01,0
1.299922535237039434e-01,3.104233744492816971e-01,5.012894609048160754e-01,5.543596261105027123e-01,7.780132823531298314e-01,8.471237477632211910e-01,8.574186658282052509e-01,6.572672957086608259e-01,7.374256138189025922e-01,1.135645398610491075e+00,-1
7.997053789728264528e-01,1.796122135111550833e-01,4.028030602239119906e-01,4.779600616706738414e-01,5.658057672209932942e-01,5.798700729894123995e-01,4.299251372955538164e-01,2.333966811693637122e-01,5.380572622574160135e-01,7.527528870414947892e-01,0
6.977770964765988015e-01,7.019887117491440121e-01,5.071228064837622895e-01,4.174197608604128251e-01,7.107922981904821746e-01,1.773387708133625784e-01,2.702716709089661995e-01,7.675998862759072505e-01,7.365364729070400518e-01,6.911963844932500489e-01,1
8.620191439598638983e-01,7.832192979312968539e-01,5.264674711906024429e-01,5.292474188409639346e-01,8.526679149617458764e-01,3.429529356305858756e-01,2.777075941946586801e-01,7.787594126843842002e-01,7.098380886766768594e-01,6.276601931429759418e-01,1
7.579746988621102188e-01,2.725413451442694757e-01,5.071163276286368982e-01,5.352133014961445445e-01,4.859919075710301128e-01,4.628998461557555788e-01,4.799574816507148900e-01,2.609901320344222286e-01,4.940637867235004865e-01,7.622685710935195313e-01,0
7.532671298691087092e-01,7.459590232339237126e-01,4.754887923807559202e-01,4.898004882607922550e-01,7.575579993260330713e-01,2.659691651575682436e-01,2.510907225487314376e-01,7.512332395401374319e-01,7.494967861026040623e-01,7.356453706346512966e-01,1
2.469670472883969681e-01,2.643638835643041807e-01,2.337108694375606421e-01,4.840383486238440947e-01,7.397627839426954566e-01,7.228444612750662968e-01,7.448146903762163928e-01,4.936923403961403500e-01,5.051708867283135618e-01,7.971602497706817836e-01,2
7.598060708492990756e-01,1.185945124970985365e+00,5.194171670720741929e-01,5.105066745067730061e-01,7.171247283389730054e-01,1.607412182604230355e-01,1.847664993566082436e-01,7.837988590753403040e-01,6.246727587199859544e-01,1.227571297786613336e+00,1
6.024020830957652617e-01,8.033435779026045775e-01,6.113295935377165424e-01,3.501859195727248242e-01,7.963814133366798886e-01,2.371523867348099557e-01,2.342770920888358477e-01,8.964481080877710895e-01,7.388366906586060212e-01,7.783967192818340708e-01,1
2.317566320009887826e-01,2.837822716677658175e-01,2.821982914898741868e-01,5.096818053282506922e-01,7.309987749593132023e-01,7.505918119181641535e-01,7.198202742718085023e-01,4.912868137789344614e-01,4.700846089613620049e-01,7.349329386403047337e-01,2
8.414225714971503844e-01,2.897035644416064426e-01,4.607767567552879528e-01,5.837160369051607178e-01,5.149679746867756869e-01,5.517557467356675183e-01,6.088905393903630836e-01,2.592400977931583195e-01,5.508304123464468072e-01,7.820419053617134741e-01,0
7.498372571715639090e-01,2.606955684939129547e-01,4.875929326341471026e-01,4.888450615019939161e-01,5.174412909301013830e-01,5.027450139135051232e-01,5.014576732388533742e-01,2.279612147260628996e-01,5.080838031464968152e-01,7.449066417585264999e-01,0
7.737253232817675741e-01,7.576895255986384470e-01,4.848852530370902358e-01,4.933157215912742921e-01,7.469132956352362296e-01,2.574238967883279994e-01,2.282696492826623014e-01,7.765181831011159774e-01,7.679188427890899504e-01,7.110377970968473349e-01,1
7.827900254932199653e-01,1.566924817240621381e-01,5.234317586086850715e-01,6.627138045140703593e-01,3.749254379337113585e-01,5.071411752465634359e-01,4.567820436347390101e-01,2.067358126481316782e-01,5.610124824554397760e-01,5.754339666409891141e-01,0
2.622951945280087016e-01,2.707228132228532980e-01,2.639261703401846737e-01,5.348272309907187161e-01,7.754914045269181155e-01,7.286589475871128041e-01,7.782309916598348920e-01,4.698991640463135999e-01,4.650340480298581491e-01,7.311273286091817258e-01,2
7.200071488346692083e-01,7.667730927392922835e-01,5.004584552170361356e-01,4.944010752330293412e-01,8.107284083537472652e-01,2.579904290178159920e-01,2.007633514084072868e-01,7.596728690510820003e-01,7.762290258301777213e-01,7.546596137903229806e-01,1
7.364918453670097342e-01,7.536316506036457863e-01,4.377590258939327850e-01,5.319424787723014969e-01,8.411938140444976675e-01,2.962022430760171132e-01,2.670779562432428200e-01,7.907670114844068676e-01,7.461754703538846512e-01,7.827035674121730624e-01,1
2.249444431282381085e-01,2.854041597650021633e-01,2.354344223763955579e-01,5.085673845569048668e-01,7.723295999033631398e-01,7.503335289397767838e-01,7.424044009170722713e-01,4.614106764138179440e-01,4.772066253217894238e-01,7.608875313691478848e-01,2
7.351317534709493895e-01,7.712248938737782389e-01,5.129725550089136998e-01,4.897975984320381282e-01,7.441024732538931152e-01,2.401147085503382850e-01,1.851554623604755312e-01,7.851040105874932395e-01,7.747261134558389717e-01,6.710625821462501417e-01,1
9.066981800812128345e-01,6.842889800529874389e-01,5.794425611994565850e-01,5.367662631423489872e-01,8.279865122818467205e-01,2.998741485808637530e-01,2.738184284890406994e-01,6.813850600329656171e-01,7.711659792539474756e-01,6.560848461457935432e-01,1
